Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
b2b ppc agency,2,2,720,21.0,22.79,https://www.designrush.com/agency/paid-media-pay-per-click/b2b-ppc-agencies,95.0,0.1,2165.0,0.08,2830000.0,"[13,24,24,30,24,36,45,45,62,62,100,100]",2025-09-02,"Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",informational,Organic,0,true,true,01-03,other,ppc
persuasive ads,3,3,1000,31.0,6.81,https://www.designrush.com/agency/paid-media-pay-per-click/trends/persuasive-ads-examples,82.0,0.09,558.0,0.0,18600000.0,"[13,24,30,79,66,13,41,66,66,79,66,7]",2025-09-08,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic,0,true,true,01-03,trends,ppc
amazon ppc agency,3,3,1000,24.0,20.32,https://www.designrush.com/agency/paid-media-pay-per-click/amazon,82.0,0.09,1666.0,0.23,3460000.0,"[45,45,62,81,62,62,62,55,81,81,100,100]",2025-09-10,"Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",informational,Organic,0,true,true,01-03,other,ppc
gg ads,6,6,14800,100.0,27.25,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,66.0,0.07,1798.0,0.52,2020000000.0,"[81,36,81,66,66,81,54,54,81,54,100,54]",2025-09-10,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle","navigational, transactional",People also ask,0,false,true,04-10,trends,ppc
ppc advertising firm,1,1,880,32.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click/us,53.0,0.06,1747.0,0.11,7710000.0,"[36,100,36,36,81,81,20,30,55,62,36,55]",2025-09-01,"Local pack, Sitelinks, Video Carousel, Related searches, AI overview",informational,AI overview,0,true,true,01-03,other,ppc
ppc marketing company,1,1,880,45.0,138.37,https://www.designrush.com/agency/paid-media-pay-per-click/us,53.0,0.06,7333.0,0.07,20800000.0,"[30,30,30,36,36,13,62,55,100,100,100,45]",2025-09-01,"Local pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,other,ppc
ppc services in mumbai,1,1,210,10.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/in/mumbai,52.0,0.06,0.0,0.0,2060000.0,"[43,35,53,7,53,28,82,53,82,66,100,82]",2025-08-24,"Local pack, Related searches",commercial,Organic,0,true,true,01-03,other,ppc
dallas ppc,2,2,390,1.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/texas/dallas,51.0,0.05,0.0,0.01,694000.0,"[3,3,5,7,5,4,7,13,10,13,13,10]",2025-08-26,"Image pack, Video, Related searches",commercial,Organic,0,true,true,01-03,geo,ppc
google advertising fees,1,1,2900,43.0,16.04,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,50.0,0.05,802.0,0.42,576000000.0,"[23,35,7,7,5,16,2,66,100,81,29,35]",2025-09-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask,0,true,true,01-03,trends,ppc
pay per click company,1,1,720,49.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click,43.0,0.04,1418.0,0.11,1060000000.0,"[36,45,45,36,6,100,36,36,55,45,36,62]",2025-08-29,"Sitelinks, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle, AI overview","commercial, informational",AI overview,0,true,true,01-03,other,ppc
dallas pay per click,1,1,320,10.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/texas/dallas,42.0,0.04,0.0,0.0,29300000.0,"[23,23,28,35,44,44,66,100,81,81,81,66]",2025-09-05,"Video, Related searches, AI overview",commercial,Organic,0,true,true,01-03,geo,ppc
ppc agency los angeles,2,2,320,25.0,14.63,https://www.designrush.com/agency/paid-media-pay-per-click/california/los-angeles,42.0,0.04,614.0,0.02,379000.0,"[2,2,5,8,8,4,7,7,8,8,8,10]",2025-09-08,"Sitelinks, Related searches",commercial,Organic,0,true,true,01-03,geo,ppc
pay per click advertising company,10,10,1600,33.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click,35.0,0.04,1154.0,0.11,1040000000.0,"[16,7,5,16,18,1,4,66,100,53,29,24]",2025-09-08,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums",commercial,Organic,0,false,true,04-10,other,ppc
dallas pay per click company,1,1,260,10.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/texas/dallas,34.0,0.03,0.0,0.04,31300000.0,"[35,35,43,82,66,53,66,100,100,100,100,82]",2025-08-28,"Related searches, AI overview",informational,Organic,0,true,true,01-03,geo,ppc
ppc company dallas,2,2,260,9.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/texas/dallas,34.0,0.03,0.0,0.02,377000.0,"[35,35,43,43,43,43,43,81,81,81,100,81]",2025-08-23,"Knowledge panel, Video",commercial,Organic,0,true,true,01-03,geo,ppc
persuasive advertisements,3,3,390,17.0,6.81,https://www.designrush.com/agency/paid-media-pay-per-click/trends/persuasive-ads-examples,31.0,0.03,211.0,0.0,27200000.0,"[4,4,10,45,36,3,13,30,13,100,2,1]",2025-08-16,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,true,true,01-03,trends,ppc
youtube marketing agency,5,5,880,23.0,8.67,https://www.designrush.com/agency/paid-media-pay-per-click/youtube,30.0,0.03,260.0,0.27,403000000.0,"[30,30,30,36,45,45,55,55,81,81,62,100]",2025-09-09,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc
ecommerce ppc agency,7,7,1000,19.0,41.04,https://www.designrush.com/agency/paid-media-pay-per-click/ecommerce,30.0,0.03,1231.0,0.22,4650000.0,"[5,7,10,13,2,24,18,13,24,24,29,44]",2025-09-08,"Image pack, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle",commercial,Organic,0,false,true,04-10,other,ppc
google ads agency,20,23,9900,35.0,33.78,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,29.0,0.03,979.0,0.17,546000000.0,"[16,16,24,29,29,29,29,29,44,100,54,54]",2025-09-11,"Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,3,false,false,11-20,other,ppc
agence adwords,1,1,260,34.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,29.0,0.03,0.0,0.0,285000.0,"[29,15,6,15,19,23,36,29,44,54,66,54]",2025-09-07,"Image pack, Sitelinks, Video, Related searches, AI overview","commercial, informational",AI overview,0,true,true,01-03,other,ppc
pay per click advertising india,1,1,110,25.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/in,27.0,0.03,0.0,0.01,114000000.0,"[7,42,19,26,19,26,42,42,100,80,65,53]",2025-09-03,"Image pack, Video Carousel, People also ask, Related searches","commercial, informational",Organic,0,true,true,01-03,other,ppc
ppc companies,3,3,880,28.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click,26.0,0.03,857.0,0.11,35300000.0,"[36,30,20,36,36,55,62,55,62,81,100,81]",2025-09-07,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic,0,true,true,01-03,other,ppc
pay per click management agency,4,4,590,33.0,211.5,https://www.designrush.com/agency/paid-media-pay-per-click,25.0,0.02,5287.0,0.02,798000000.0,"[5,5,24,8,6,16,24,55,81,62,62,100]",2025-09-02,"Sitelinks, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",informational,Organic,0,false,true,04-10,other,ppc
florida professional ppc marketing agencies,4,4,590,9.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/amazon/florida,25.0,0.02,0.0,0.0,1480000.0,"[100,0]",2025-09-05,"Local pack, Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc
most convincing ads,4,4,390,25.0,13.8,https://www.designrush.com/agency/paid-media-pay-per-click/trends/persuasive-ads-examples,25.0,0.02,345.0,0.18,25600000.0,"[8,5,11,11,8,13,13,100,11,7,3,25]",2025-08-25,"Image pack, Video, Related searches, Discussions and forums",,Organic,0,false,true,04-10,trends,ppc
google advertising agency,6,6,1000,43.0,45.15,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,24.0,0.02,1083.0,0.32,837000000.0,"[25,37,37,52,46,46,52,52,68,84,100,100]",2025-09-06,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,other,ppc
pay per click marketing agency,1,1,720,36.0,138.37,https://www.designrush.com/agency/paid-media-pay-per-click,24.0,0.02,3320.0,0.07,70700000.0,"[8,16,36,6,55,13,67,45,100,100,67,76]",2025-09-02,"Sitelinks, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview",informational,AI overview,0,true,true,01-03,other,ppc
bing vs google ads,1,1,390,21.0,11.93,https://www.designrush.com/agency/paid-media-pay-per-click/bing/trends/bing-ads-vs-google-ads,23.0,0.02,274.0,0.28,268000000.0,"[3,3,100,24,1,0,3,3,2,2,2,3]",2025-08-28,"Sitelinks, Video, Related searches, See results about, Discussions and forums, AI overview",commercial,AI overview,0,true,true,01-03,trends,ppc
ppc sites,1,1,170,34.0,7.16,https://www.designrush.com/agency/paid-media-pay-per-click/trends/ppc-platforms,22.0,0.02,157.0,0.16,41500000.0,"[42,34,26,53,80,80,65,65,65,80,65,53]",2025-08-18,"Image pack, Sitelinks, Video, FAQ, Related searches, AI overview",informational,Organic,0,true,true,01-03,trends,ppc
ppc agency in india,1,1,90,25.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/in,22.0,0.02,0.0,0.01,3920000.0,"[19,33,66,9,9,52,66,52,23,42,100,66]",2025-09-05,"Local pack, Featured snippet, Video Carousel, Related searches, AI overview",commercial,Organic,0,true,true,01-03,other,ppc
ppc agency,15,0,14800,42.0,28.79,https://www.designrush.com/agency/paid-media-pay-per-click,22.0,0.02,633.0,0.07,27300000.0,"[16,16,24,29,24,29,29,36,44,100,67,81]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,-15,false,false,11-20,other,ppc
pay per click ad networks,1,1,90,31.0,9.13,https://www.designrush.com/agency/paid-media-pay-per-click/trends/ppc-platforms,22.0,0.02,200.0,0.13,173000000.0,"[63,45,63,81,45,63,100,100,100,63,100,45]",2025-09-05,"Image pack, Sitelinks, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,true,true,01-03,trends,ppc
small business ppc agency,2,8,170,21.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click,22.0,0.02,0.0,0.0,5830000.0,"[9,21,28,53,53,9,65,28,65,65,100,65]",2025-09-11,"Sitelinks, Video Carousel, Related searches","commercial, informational",Organic,6,true,true,01-03,other,ppc
ppc ad networks,1,1,90,30.0,9.13,https://www.designrush.com/agency/paid-media-pay-per-click/trends/ppc-platforms,22.0,0.02,200.0,0.13,5350000.0,"[81,63,63,81,45,81,81,81,45,100,81,81]",2025-08-24,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Organic,0,true,true,01-03,trends,ppc
ppc agency melbourne,2,2,480,12.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/au/melbourne,21.0,0.02,0.0,0.0,223000.0,"[29,29,44,44,44,44,66,54,100,100,100,100]",2025-08-16,"Local pack, Related searches",commercial,Organic,0,true,true,01-03,other,ppc
ppc platform,3,3,260,36.0,13.55,https://www.designrush.com/agency/paid-media-pay-per-click/trends/ppc-platforms,21.0,0.02,284.0,0.06,33200000.0,"[18,15,35,23,28,44,44,35,54,100,66,54]",2025-09-03,"Sitelinks, Video, Related searches","commercial, informational",Organic,0,true,true,01-03,trends,ppc
top ppc agencies,5,5,480,21.0,42.69,https://www.designrush.com/agency/paid-media-pay-per-click,21.0,0.02,896.0,0.1,9160000.0,"[48,21,48,17,21,48,39,48,100,72,88,39]",2025-09-02,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Discussions and forums","commercial, informational",Organic,0,false,true,04-10,other,ppc
ppc firm dallas,2,2,260,4.0,99.11,https://www.designrush.com/agency/paid-media-pay-per-click/texas/dallas,21.0,0.02,2081.0,0.03,365000.0,"[10,10,13,13,13,13,16,30,30,30,24,24]",2025-08-31,"Image pack, Video, Related searches, AI overview",commercial,Organic,0,true,true,01-03,geo,ppc
google advertising,2,1,5400,100.0,34.25,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,21.0,0.02,719.0,0.43,9450000000.0,"[24,36,29,100,29,16,54,19,44,19,44,24]",2025-09-11,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Things to know, Ads middle","navigational, transactional",People also ask,-1,true,true,01-03,trends,ppc
dallas ppc firm,2,2,260,19.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/texas/dallas,21.0,0.02,0.0,0.0,344000.0,"[35,35,43,43,43,43,53,100,100,100,100,100]",2025-08-28,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic,0,true,true,01-03,geo,ppc
ppc marketing firms in florida,1,1,590,22.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/florida,20.0,0.02,0.0,0.0,4870000.0,"[100,0]",2025-09-07,"Local pack, Sitelinks, Related searches, AI overview",commercial,AI overview,0,true,true,01-03,geo,ppc
adwords agency,8,8,880,41.0,64.94,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,19.0,0.02,1233.0,0.1,4850000.0,"[20,0,1,3,2,7,24,30,34,82,55,100]",2025-09-06,"Local pack, Image pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,other,ppc
google ads pricing,11,11,3600,45.0,16.04,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,18.0,0.02,288.0,0.42,195000000.0,"[15,1,19,19,36,100,44,19,23,23,23,10]",2025-09-07,"Sitelinks, Video, People also ask, Related searches, AI overview",transactional,Organic,0,false,false,11-20,trends,ppc
google advertising cost,12,12,3600,42.0,16.04,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,18.0,0.02,288.0,0.42,687000000.0,"[15,1,1,36,81,100,44,13,36,7,7,15]",2025-09-07,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic,0,false,false,11-20,trends,ppc
ppc management company california,1,1,140,10.0,9.74,https://www.designrush.com/agency/paid-media-pay-per-click/california,18.0,0.02,175.0,0.04,7810000.0,"[23,14,52,80,80,80,100,80,80,52,80,52]",2025-08-20,"Local pack, AI overview",informational,Organic,0,true,true,01-03,geo,ppc
miami ppc agency,2,2,140,18.0,11.45,https://www.designrush.com/agency/paid-media-pay-per-click/florida/miami,18.0,0.02,206.0,0.03,497000.0,"[21,28,21,43,28,34,43,53,100,53,53,43]",2025-08-19,"Local pack, Image, Related searches",commercial,Organic,0,true,true,01-03,geo,ppc
pay per click melbourne,1,1,140,0.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/au/melbourne,18.0,0.02,0.0,0.0,31500000.0,"[15,19,15,15,26,53,65,65,80,80,100,80]",2025-09-10,"People also ask, AI overview",informational,Organic,0,true,true,01-03,other,ppc
pay per click management utah,1,1,140,2.0,0.0,https://www.designrush.com/agency/paid-media-pay-per-click/utah,18.0,0.02,0.0,0.0,28400000.0,"[7,7,19,26,34,34,53,65,100,100,100,100]",2025-09-10,"People also ask, AI overview",informational,Organic,0,true,true,01-03,geo,ppc
