Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
email marketing companies,6,6,2900,56.0,23.78,https://www.designrush.com/agency/email-marketing/us,87.0,0.1,2068.0,0.22,1450000000.0,"[100,100,80,100,80,66,66,44,66,52,66,66]",2025-09-08,"Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,agency,email,68962.0
email marketing agencies,5,5,1300,44.0,15.92,https://www.designrush.com/agency/email-marketing/us,45.0,0.05,716.0,0.17,323000000.0,"[55,24,20,24,30,30,34,82,100,65,55,34]",2025-09-08,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,email,20696.0
mandrill pricing,5,5,1300,29.0,11.73,https://www.designrush.com/agency/email-marketing/trends/email-marketing-cost,15.0,0.01,175.0,0.54,88.0,"[100,7,8,8,3,3,8,0,0,0,0,0]",2025-09-10,"Image pack, Video, People also ask, Related searches",navigational,People also ask,0,false,true,04-10,agency,email,15249.0
ai for email marketing,10,10,590,48.0,18.42,https://www.designrush.com/agency/email-marketing/trends/email-marketing-ai-tools,4.0,0.0,73.0,0.34,1280000000.0,"[4,5,3,8,20,7,36,100,5,5,10,13]",2025-09-09,"Image pack, Video, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,agency,email,10867.800000000001
email advertising cost,7,7,260,35.0,9.92,https://www.designrush.com/agency/email-marketing/trends/email-marketing-cost,3.0,0.0,29.0,0.17,803000000.0,"[26,14,9,14,14,39,21,14,100,26,17,9]",2025-08-26,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,email,2579.2
top email marketing companies,4,4,110,42.0,22.82,https://www.designrush.com/agency/email-marketing,4.0,0.0,91.0,0.23,1440000000.0,"[34,42,19,42,26,100,19,15,34,42,80,42]",2025-08-27,"Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,email,2510.2
how much does email marketing cost,10,10,320,36.0,6.62,https://www.designrush.com/agency/email-marketing/trends/email-marketing-cost,1.0,0.0,6.0,0.18,1370000000.0,"[28,28,18,23,35,44,81,66,100,81,81,54]",2025-08-17,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,email,2118.4
email marketing companies in usa,4,4,50,26.0,13.42,https://www.designrush.com/agency/email-marketing/us,2.0,0.0,26.0,0.12,602000000.0,"[14,14,14,14,14,14,14,14,100,78,78,78]",2025-08-30,"Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,email,671.0
email marketing agency in hyderabad,6,6,90,0.0,5.36,https://www.designrush.com/agency/email-marketing/in/hyderabad,2.0,0.0,10.0,0.1,8780000.0,"[3,6,6,6,6,12,21,15,34,65,100,53]",2025-09-10,"Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,email,482.40000000000003
email marketing bureau,10,10,170,15.0,0.0,https://www.designrush.com/agency/email-marketing/wisconsin/milwaukee,3.0,0.0,0.0,0.0,169000000.0,"[18,11,15,15,15,15,66,28,44,54,44,35]",2025-09-06,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,email,0.0
chicago email marketing agency,4,4,50,9.0,0.0,https://www.designrush.com/agency/email-marketing/illinois/chicago,2.0,0.0,0.0,0.06,65600000.0,"[9,9,9,14,9,9,23,33,52,52,52,42]",2025-09-08,"Local pack, Sitelinks, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,email,0.0
houston email marketing services,7,7,40,12.0,0.0,https://www.designrush.com/agency/email-marketing/texas/houston,1.0,0.0,0.0,0.0,223000000.0,"[42,100,57,71,42]",2025-08-24,Local pack,informational,Organic,0,false,true,04-10,agency,email,0.0
