Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
top ai development companies,10,10,320,55.0,20.84,https://www.designrush.com/agency/ai-companies,6.0,0.0,125.0,0.23,688000000.0,"[35,43,43,81,81,81,66,35,66,100,66,81]",2025-08-15,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,ai,6668.8
ai automation agencies,6,6,170,31.0,10.44,https://www.designrush.com/agency/ai-companies/ai-automation-agency,5.0,0.0,52.0,0.61,211000000.0,"[26,65,42,42,53,42,80,34,53,65,100,100]",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches, Ads middle",informational,Organic,0,false,true,04-10,agency,ai,1774.8
ai automation companies,10,10,110,30.0,10.88,https://www.designrush.com/agency/ai-companies,2.0,0.0,21.0,0.41,299000000.0,"[23,82,52,52,64,52,64,64,100,82,100,100]",2025-09-08,"Image pack, Sitelinks, Video, Related searches, Ads middle, AI overview",informational,Organic,0,false,true,04-10,agency,ai,1196.8000000000002
chatgpt competition,9,9,390,39.0,2.02,https://www.designrush.com/agency/ai-companies/trends/chatgpt-alternatives,8.0,0.0,16.0,0.52,59000000.0,"[29,5,81,4,4,12,36,67,100,67,36,67]",2025-08-23,"Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,ai,787.8
top ai automation agencies,4,4,50,20.0,14.45,https://www.designrush.com/agency/ai-companies/ai-automation-agency,2.0,0.0,28.0,0.54,72400000.0,"[11,11,7,7,7,7,7,7,15,100,65,7]",2025-08-26,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,ai,722.5
ai companies in chicago,6,6,70,7.0,5.15,https://www.designrush.com/agency/ai-companies/illinois/chicago,2.0,0.0,10.0,0.43,354000000.0,"[27,36,36,45,45,45,45,45,100,100,81,81]",2025-09-08,"Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,ai,360.5
ai companies in boston,9,9,90,12.0,3.69,https://www.designrush.com/agency/ai-companies/massachusetts/boston,2.0,0.0,7.0,0.46,254000000.0,"[63,81,81,45,63,81,81,81,81,81,100,81]",2025-08-27,"Image pack, Video, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,ai,332.1
ai automations agency,4,4,30,32.0,10.44,https://www.designrush.com/agency/ai-companies/ai-automation-agency,1.0,0.0,10.0,0.61,148000000.0,"[0,0,0,0,0,0,45,18,9,100,18,81]",2025-09-04,"Local pack, Image pack, Video, Ads top, Ads bottom, Related searches, Ads middle","commercial, informational",Organic,0,false,true,04-10,agency,ai,313.2
ai companies bay area,5,5,70,25.0,4.0,https://www.designrush.com/agency/ai-companies/california/san-francisco,2.0,0.0,8.0,0.49,181000000.0,"[45,100,45,63,45,36,100,63,100,63,63,63]",2025-08-15,"Top stories, Image pack, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ai,280.0
ai companies in bay area,8,8,70,24.0,4.0,https://www.designrush.com/agency/ai-companies/california/san-francisco,1.0,0.0,4.0,0.49,192000000.0,"[23,52,14,14,14,19,52,42,52,23,33,33]",2025-08-15,"Local pack, Top stories, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,ai,280.0
