Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
social media marketing agency,8,0,18100,78.0,8.72,https://www.designrush.com/agency/social-media-marketing/trends/paid-social-media-advertising,13.0,0.01,113.0,0.09,547000000.0,"[44,44,44,100,66,66,66,66,81,81,100,100]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, Things to know, Ads middle, AI overview",commercial,Things to know,-8,false,true,04-10,agency,social,157832.0
facebook marketing,5,0,6600,87.0,9.46,https://www.designrush.com/agency/social-media-marketing/facebook/trends/what-is-facebook-marketing,19.0,0.02,179.0,0.35,3080000000.0,"[44,44,44,54,54,54,54,44,66,66,81,100]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,-5,false,true,04-10,agency,social,62436.00000000001
tiktok advertising cost,10,10,1900,42.0,7.62,https://www.designrush.com/agency/social-media-marketing/trends/tiktok-advertising-cost,36.0,0.04,274.0,0.31,154000000.0,"[3,4,2,23,100,54,44,3,5,10,1,2]",2025-09-07,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,social,14478.0
tiktok ads cost,10,10,1000,44.0,7.62,https://www.designrush.com/agency/social-media-marketing/trends/tiktok-advertising-cost,5.0,0.0,38.0,0.31,262000000.0,"[7,5,15,4,100,36,5,10,5,5,7,7]",2025-09-10,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,social,7620.0
white label social media management,4,4,590,20.0,11.15,https://www.designrush.com/agency/social-media-marketing/trends/best-white-label-social-media-management-services,38.0,0.04,423.0,0.26,481000000.0,"[39,39,39,48,39,48,72,59,72,72,88,100]",2025-09-03,"Image pack, Sitelinks, Video, Video Carousel, Related searches",commercial,Organic,0,false,true,04-10,agency,social,6578.5
outsource social media,10,10,390,6.0,14.54,https://www.designrush.com/agency/social-media-marketing/trends/outsourcing-social-media-management,3.0,0.0,43.0,0.15,15400000.0,"[54,29,29,29,15,36,66,54,66,81,100,66]",2025-08-16,"Sitelinks, Video Carousel, Related searches, Discussions and forums","commercial, informational",Organic,0,false,true,04-10,agency,social,5670.599999999999
social media outsourcing,10,10,260,4.0,14.54,https://www.designrush.com/agency/social-media-marketing/trends/outsourcing-social-media-management,4.0,0.0,58.0,0.15,62300000.0,"[66,43,53,66,66,35,66,53,53,66,82,100]",2025-08-23,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,social,3780.3999999999996
tiktok ads pricing,10,10,390,43.0,8.68,https://www.designrush.com/agency/social-media-marketing/trends/tiktok-advertising-cost,2.0,0.0,17.0,0.03,112000000.0,"[3,6,3,13,100,36,100,8,16,13,10,10]",2025-09-02,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic,0,false,true,04-10,agency,social,3385.2
pinterest marketing agency,7,7,480,18.0,6.8,https://www.designrush.com/agency/social-media-marketing/pinterest,14.0,0.01,95.0,0.03,59700000.0,"[17,21,32,32,21,32,48,39,59,72,100,100]",2025-09-04,"Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,social,3264.0
new social media,9,9,1000,48.0,3.05,https://www.designrush.com/agency/social-media-marketing/trends/alternative-social-media,22.0,0.02,67.0,0.02,5070000000.0,"[8,7,7,8,23,12,23,10,8,10,8,8]",2025-09-07,"Sitelinks, Video, FAQ, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,social,3050.0
other social platforms,9,9,210,47.0,10.91,https://www.designrush.com/agency/social-media-marketing/trends/alternative-social-media,4.0,0.0,43.0,0.02,1210000000.0,"[65,65,53,53,34,43,53,65,100,65,81,53]",2025-09-06,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,social,2291.1
social media marketing utah,4,4,170,8.0,13.39,https://www.designrush.com/agency/social-media-marketing/utah,5.0,0.0,66.0,0.11,37700000.0,"[12,10,43,35,35,43,35,43,53,66,82,66]",2025-08-23,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,agency,social,2276.3
tiktok ad pricing,8,8,210,32.0,8.68,https://www.designrush.com/agency/social-media-marketing/trends/tiktok-advertising-cost,5.0,0.0,43.0,0.03,130000000.0,"[6,2,4,4,100,36,100,9,2,12,1,44]",2025-08-15,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,social,1822.8
outsourcing social media marketing,10,10,110,24.0,15.59,https://www.designrush.com/agency/social-media-marketing/trends/outsourcing-social-media-management,2.0,0.0,31.0,0.15,24500000.0,"[5,6,12,5,23,1,12,29,19,23,15,5]",2025-08-27,"Image pack, Sitelinks, Video Carousel, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,social,1714.9
best smm companies,10,10,170,34.0,9.58,https://www.designrush.com/agency/social-media-marketing/california,3.0,0.0,28.0,0.16,3050000.0,"[43,28,23,17,23,53,82,66,28,43,43,100]",2025-08-24,"Image pack, Sitelinks, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,agency,social,1628.6
white label social media agency,4,4,210,27.0,7.72,https://www.designrush.com/agency/social-media-marketing/trends/best-white-label-social-media-management-services,13.0,0.01,100.0,0.04,101000000.0,"[43,35,53,28,43,35,43,66,100,100,82,82]",2025-09-02,"Sitelinks, Video, Video Carousel, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,social,1621.2
social media management white label,4,4,140,21.0,11.15,https://www.designrush.com/agency/social-media-marketing/trends/best-white-label-social-media-management-services,9.0,0.01,100.0,0.26,565000000.0,"[53,53,42,0,15,53,65,42,80,100,80,100]",2025-08-19,"Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,social,1561.0
utah social media marketing,4,4,110,2.0,13.39,https://www.designrush.com/agency/social-media-marketing/utah,4.0,0.0,53.0,0.11,37500000.0,"[19,23,42,19,4,42,42,52,66,100,100,80]",2025-08-26,"Image pack, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,social,1472.9
how much does it cost to advertise on tiktok,4,4,260,40.0,5.6,https://www.designrush.com/agency/social-media-marketing/trends/tiktok-advertising-cost,11.0,0.01,61.0,0.34,296000000.0,"[53,43,66,82,100,100,82,82,82,66,66,28]",2025-09-04,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,social,1456.0
