Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
gg ads,6,6,14800,100.0,27.25,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,66.0,0.07,1798.0,0.52,2020000000.0,"[81,36,81,66,66,81,54,54,81,54,100,54]",2025-09-10,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle","navigational, transactional",People also ask,0,false,true,04-10,trends,ppc,403300.0
ppc company,8,8,5400,54.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click,8.0,0.0,263.0,0.11,51700000.0,"[19,19,29,44,44,54,44,44,66,100,66,54]",2025-09-10,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,178091.99999999997
pay per click management agency,4,4,590,33.0,211.5,https://www.designrush.com/agency/paid-media-pay-per-click,25.0,0.02,5287.0,0.02,798000000.0,"[5,5,24,8,6,16,24,55,81,62,62,100]",2025-09-02,"Sitelinks, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",informational,Organic,0,false,true,04-10,other,ppc,124785.0
ppc marketing company,9,9,880,45.0,138.37,https://www.designrush.com/agency/paid-media-pay-per-click,6.0,0.0,830.0,0.07,20800000.0,"[30,30,30,36,36,13,62,55,100,100,100,45]",2025-09-01,"Local pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,ppc,121765.6
pay per click marketing agency,9,9,720,36.0,138.37,https://www.designrush.com/agency/paid-media-pay-per-click,6.0,0.0,830.0,0.07,70700000.0,"[8,16,36,6,55,13,67,45,100,100,67,76]",2025-09-02,"Sitelinks, Ads bottom, Video Carousel, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic,0,false,true,04-10,other,ppc,99626.40000000001
googel ads,6,6,2900,100.0,34.25,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords/trends/google-ads-costs,8.0,0.0,274.0,0.43,2030000000.0,"[13,8,7,36,13,8,10,7,8,7,2,8]",2025-09-10,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",navigational,People also ask,0,false,true,04-10,trends,ppc,99325.0
google ads marketing agency,7,7,1600,53.0,44.56,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,14.0,0.01,623.0,0.09,229000000.0,"[55,34,55,30,34,44,44,55,44,82,100,65]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic,0,false,true,04-10,other,ppc,71296.0
ppc firm,6,6,590,34.0,99.11,https://www.designrush.com/agency/paid-media-pay-per-click,17.0,0.01,1684.0,0.03,11000000.0,"[100,59,3,14,14,17,48,48,100,88,59,72]",2025-09-02,"Image pack, Sitelinks, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",informational,Organic,0,false,true,04-10,other,ppc,58474.9
adwords agency,8,8,880,41.0,64.94,https://www.designrush.com/agency/paid-media-pay-per-click/google-adwords,19.0,0.02,1233.0,0.1,4850000.0,"[20,0,1,3,2,7,24,30,34,82,55,100]",2025-09-06,"Local pack, Image pack, Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",commercial,Organic,0,false,true,04-10,other,ppc,57147.2
pay per click advertising company,10,10,1600,33.0,32.98,https://www.designrush.com/agency/paid-media-pay-per-click,35.0,0.04,1154.0,0.11,1040000000.0,"[16,7,5,16,18,1,4,66,100,53,29,24]",2025-09-08,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums",commercial,Organic,0,false,true,04-10,other,ppc,52767.99999999999
