Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
best digital marketing agency,19,14,6600,49.0,8.77,https://www.designrush.com/agency/digital-marketing/us,9.0,0.01,78.0,0.17,505000000.0,"[54,36,44,54,54,54,54,54,81,81,100,100]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle",commercial,Organic,-5,false,false,11-20,other,digital_marketing
b2c digital marketing agency,4,1,210,10.0,0.0,https://www.designrush.com/agency/digital-marketing/b2c,13.0,0.01,0.0,0.0,5520000.0,"[11,8,8,18,3,35,35,54,66,54,54,100]",2025-09-11,"Video Carousel, People also ask, Related searches",informational,Organic,-3,false,true,04-10,other,digital_marketing
digital advertising companies,8,5,1300,58.0,14.28,https://www.designrush.com/agency/digital-marketing,6.0,0.0,85.0,0.15,1720000000.0,"[41,41,54,54,41,36,41,54,66,54,54,66]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,-3,false,true,04-10,other,digital_marketing
online marketing agency,9,7,9900,96.0,12.98,https://www.designrush.com/agency/digital-marketing,128.0,0.14,1661.0,0.1,889000000.0,"[29,29,36,44,44,36,54,66,100,81,100,81]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle",commercial,Organic,-2,false,true,04-10,other,digital_marketing
nft marketing services,3,1,140,12.0,0.0,https://www.designrush.com/agency/digital-marketing/nft-marketing,11.0,0.01,0.0,0.0,10900000.0,"[17,5,17,7,28,28,35,35,53,53,100,66]",2025-09-11,"Sitelinks, Image, Video Carousel, Related searches","commercial, informational",Organic,-2,true,true,01-03,other,digital_marketing
digital marketing websites,19,17,880,61.0,6.3,https://www.designrush.com/agency/digital-marketing,2.0,0.0,12.0,0.2,1100000000.0,"[55,36,81,100,36,36,62,36,55,36,45,45]",2025-09-12,"Sitelinks, Ads top, Ads bottom, Video Carousel, Related searches, Ads middle, AI overview",commercial,Organic,-2,false,false,11-20,other,digital_marketing
convert digital marketing,1,0,40,42.0,0.0,https://www.designrush.com/agency/digital-marketing/trends/conversion-marketing,7.0,0.0,0.0,0.0,118000000.0,"[9,9,9,9,9,52,100,9,9,9,9,9]",2025-09-11,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview,-1,true,true,01-03,trends,digital_marketing
digital marketing agency description,1,0,70,31.0,2.44,https://www.designrush.com/agency/digital-marketing/trends/what-does-a-digital-marketing-agency-do,4.0,0.0,9.0,0.03,601000000.0,"[41,11,11,11,41,11,100,64,64,52,64,29]",2025-09-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,AI overview,-1,true,true,01-03,trends,digital_marketing
digital marketing agnecy,1,0,140,74.0,8.13,https://www.designrush.com/agency/digital-marketing/trends/what-does-a-digital-marketing-agency-do,3.0,0.0,24.0,0.15,706000000.0,"[4,100,3,2,0,2,4,2,44,1,1,23]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Things to know, Ads middle",commercial,People also ask,-1,true,true,01-03,trends,digital_marketing
digital marketing services,27,26,27100,73.0,8.4,https://www.designrush.com/agency/digital-marketing,2.0,0.0,16.0,0.08,1590000000.0,"[44,44,44,54,54,44,54,54,81,81,100,81]",2025-09-11,"Local pack, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle",commercial,Organic,-1,false,false,21-50,other,digital_marketing
digital marketing company hyderabad,3,2,70,62.0,5.36,https://www.designrush.com/agency/digital-marketing/in/hyderabad,2.0,0.0,10.0,0.1,131000000.0,"[41,29,41,41,29,100,29,41,52,41,52,41]",2025-09-11,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,-1,true,true,01-03,other,digital_marketing
