Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
ecommerce development company,4,4,1900,60.0,74.74,https://www.designrush.com/agency/ecommerce,45.0,0.05,3363.0,0.1,218000000.0,"[41,54,66,79,100,79,79,66,79,66,79,100]",2025-09-08,"Local pack, Image pack, Sitelinks, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce,142006.0
ecommerce development agency,6,6,880,57.0,76.0,https://www.designrush.com/agency/ecommerce,26.0,0.03,1976.0,0.06,95100000.0,"[36,13,45,45,55,62,62,55,62,81,100,81]",2025-09-03,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,66880.0
shopify store,5,5,12100,67.0,3.79,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,6.0,0.0,22.0,0.41,344000000.0,"[81,66,66,100,81,44,100,54,100,44,54,44]",2025-09-10,"Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches, See results about, Ads middle",navigational,People also ask,0,false,true,04-10,agency,ecommerce,45859.0
woocommerce development agency,7,7,720,33.0,25.77,https://www.designrush.com/agency/ecommerce/woocommerce,5.0,0.0,128.0,0.1,2800000.0,"[21,39,72,88,59,26,59,59,100,100,100,100]",2025-09-03,"Sitelinks, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce,18554.4
shopify website development services,5,5,480,44.0,16.92,https://www.designrush.com/agency/ecommerce/shopify,4.0,0.0,67.0,0.03,17000000.0,"[20,24,30,0,36,36,36,30,55,45,45,16]",2025-09-01,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce,8121.6
how to make a shopify store,4,0,880,49.0,4.75,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,15.0,0.01,71.0,0.5,203000000.0,"[45,67,76,36,76,36,55,55,67,100,100,67]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,-4,false,true,04-10,agency,ecommerce,4180.0
ecommerce consulting companies,7,7,260,25.0,11.68,https://www.designrush.com/agency/ecommerce/consulting,6.0,0.0,70.0,0.1,25500000.0,"[28,43,53,66,66,53,82,53,66,35,66,100]",2025-08-29,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,3036.7999999999997
ecommerce web development firm,6,6,260,55.0,11.42,https://www.designrush.com/agency/ecommerce,4.0,0.0,45.0,0.05,9160000.0,"[23,23,18,15,18,35,54,66,100,66,81,81]",2025-08-15,"Sitelinks, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,2969.2
ecommerce website design and development company,4,4,210,37.0,11.42,https://www.designrush.com/agency/ecommerce/web-design,5.0,0.0,57.0,0.05,53700000.0,"[18,14,22,14,18,29,54,43,100,54,81,43]",2025-08-22,"Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,ecommerce,2398.2
e-commerce consulting,8,8,260,33.0,8.72,https://www.designrush.com/agency/ecommerce/consulting,2.0,0.0,17.0,0.31,203000000.0,"[5,15,36,19,23,81,29,36,29,29,36,100]",2025-08-24,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce,2267.2000000000003
