Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
content marketing agencies,8,8,1900,50.0,10.11,https://www.designrush.com/agency/content-marketing/us,36.0,0.04,363.0,0.1,387000000.0,"[34,34,44,55,44,55,55,65,82,82,100,82]",2025-09-08,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,content,19209.0
content creation agencies,9,9,480,18.0,7.83,https://www.designrush.com/agency/content-marketing/content-creation/new-york/new-york-city,10.0,0.01,78.0,0.14,271000000.0,"[26,59,48,48,39,39,100,26,59,48,59,72]",2025-09-10,"Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,content,3758.4
b2b content marketing agencies,10,10,140,25.0,20.38,https://www.designrush.com/agency/content-marketing,3.0,0.0,61.0,0.03,54600000.0,"[28,6,9,3,15,15,53,53,100,100,43,65]",2025-08-26,"Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,content,2853.2
content generation companies,8,8,210,23.0,7.83,https://www.designrush.com/agency/content-marketing/content-creation/california/los-angeles,2.0,0.0,15.0,0.14,833000000.0,"[36,36,23,23,12,23,2,1,1,3,5,100]",2025-09-05,"Image pack, Video, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,content,1644.3
copywriting agencies,4,4,320,39.0,3.9,https://www.designrush.com/agency/content-marketing/copywriting,20.0,0.02,78.0,0.19,6590000.0,"[28,44,54,28,28,35,44,100,44,54,66,54]",2025-08-29,"Image pack, Sitelinks, Video, Related searches",informational,Organic,0,false,true,04-10,agency,content,1248.0
content marketing agency leeds,6,6,110,44.0,10.11,https://www.designrush.com/agency/content-marketing/uk/leeds,2.0,0.0,20.0,0.1,5490000.0,"[19,23,42,33,52,52,52,52,80,80,100,80]",2025-08-18,"Local pack, People also ask, Related searches",commercial,Organic,0,false,true,04-10,agency,content,1112.1
melbourne content marketing,4,4,70,35.0,9.21,https://www.designrush.com/agency/content-marketing/au/melbourne,4.0,0.0,36.0,0.03,95700000.0,"[77,55,77,55,55,77,100,77,100,100,100,77]",2025-09-05,"Knowledge panel, Image pack, Related searches",informational,Organic,0,false,true,04-10,agency,content,644.7
brisbane content marketing,6,6,70,6.0,7.66,https://www.designrush.com/agency/content-marketing/au/brisbane,2.0,0.0,15.0,0.01,37700000.0,"[28,21,50,28,21,64,50,35,64,78,100,64]",2025-08-18,"Video, Related searches",commercial,Organic,0,false,true,04-10,agency,content,536.2
copywriting firm,5,5,110,44.0,2.72,https://www.designrush.com/agency/content-marketing/copywriting,2.0,0.0,5.0,0.08,3690000.0,"[4,4,22,14,8,8,22,18,35,43,66,43]",2025-08-15,"Local pack, Image pack, Video Carousel, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,content,299.20000000000005
how to sell content,6,6,110,11.0,1.82,https://www.designrush.com/agency/content-marketing/trends/content-selling,2.0,0.0,3.0,0.34,3580000000.0,"[100,78,78,78,78,100,64,78,64,64,78,64]",2025-09-04,"Sitelinks, Video, Ads bottom, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic,0,false,true,04-10,agency,content,200.20000000000002
