Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
text to cad,3,3,1900,18.0,1.14,https://www.designrush.com/agency/ai-companies/trends/text-to-cad-ai,155.0,0.17,176.0,0.22,724000000.0,"[2,1,1,1,1,1,23,100,23,23,15,8]",2025-09-10,"Image pack, Sitelinks, Video, Ads top, Ads bottom, Related searches, Ads middle","informational, transactional",Organic,0,true,true,01-03,agency,ai
design rush ai development capabilities,1,1,50,15.0,0.0,https://www.designrush.com/agency/ai-companies/trends,40.0,0.04,0.0,0.0,17000000.0,"[11,100]",2025-08-31,"Image pack, Video, Related searches, AI overview",informational,Organic,0,true,true,01-03,agency,ai
ai automation agency,12,12,1600,37.0,10.44,https://www.designrush.com/agency/ai-companies/ai-automation-agency,20.0,0.02,208.0,0.61,155000000.0,"[30,30,36,41,41,66,66,100,100,79,79,79]",2025-09-09,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches, Ads middle",informational,Organic,0,false,false,11-20,agency,ai
chatgpt competitors,15,15,3600,50.0,2.02,https://www.designrush.com/agency/ai-companies/trends/chatgpt-alternatives,18.0,0.02,36.0,0.52,172000000.0,"[23,29,35,35,23,44,54,100,66,66,54,44]",2025-09-08,"Sitelinks, Video, Related searches",commercial,Organic,0,false,false,11-20,agency,ai
ai development companies in india,1,1,70,27.0,38.39,https://www.designrush.com/agency/ai-companies/in,17.0,0.01,652.0,0.07,517000000.0,"[50,64,64,14,28,14,14,21,78,100,14,100]",2025-08-22,"Video, Related searches",commercial,Organic,0,true,true,01-03,agency,ai
ai architecture,1,1,1600,32.0,1.94,https://www.designrush.com/agency/ai-companies/trends/types-of-ai,17.0,0.01,32.0,0.2,1220000000.0,"[44,55,65,44,44,44,65,55,65,65,55,82]",2025-09-09,"Image pack, Video, Image, Related searches, Things to know",commercial,Things to know,0,true,true,01-03,agency,ai
ai companies new jersey,5,5,590,12.0,0.0,https://www.designrush.com/agency/ai-companies/new-jersey,14.0,0.01,0.0,0.0,70600000.0,"[100,0,0]",2025-08-29,"Local pack, Image pack, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,ai
chatgpt active users 2025,11,11,720,39.0,0.0,https://www.designrush.com/agency/ai-companies/trends/chatgpt-usage-statistics,13.0,0.01,0.0,0.0,86800000.0,"[0,0,41,0,100]",2025-09-08,"Sitelinks, Video, Featured snippet, Related searches, Datasets",informational,Organic,0,false,false,11-20,agency,ai
artificial intelligence automation agency,11,11,880,22.0,10.44,https://www.designrush.com/agency/ai-companies/ai-automation-agency,11.0,0.01,114.0,0.61,29900000.0,"[20,20,16,36,16,55,10,81,81,100,81,100]",2025-09-03,"Image pack, Sitelinks, Video, Related searches",informational,Organic,0,false,false,11-20,agency,ai
chatgpt usage,10,10,480,57.0,0.31,https://www.designrush.com/agency/ai-companies/trends/chatgpt-usage-statistics,10.0,0.01,3.0,0.13,130000000.0,"[16,16,20,16,16,13,16,16,20,100,24,62]",2025-09-06,"Image pack, Sitelinks, Video, Related searches, Datasets",informational,Organic,0,false,true,04-10,agency,ai
chatgpt competition,9,9,390,39.0,2.02,https://www.designrush.com/agency/ai-companies/trends/chatgpt-alternatives,8.0,0.0,16.0,0.52,59000000.0,"[29,5,81,4,4,12,36,67,100,67,36,67]",2025-08-23,"Image pack, Sitelinks, Video, Related searches, AI overview",commercial,Organic,0,false,true,04-10,agency,ai
top ai development companies,10,10,320,55.0,20.84,https://www.designrush.com/agency/ai-companies,6.0,0.0,125.0,0.23,688000000.0,"[35,43,43,81,81,81,66,35,66,100,66,81]",2025-08-15,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview","commercial, informational",Organic,0,false,true,04-10,agency,ai
zoo.dev text to cad,3,3,1300,25.0,0.0,https://www.designrush.com/agency/ai-companies/trends/text-to-cad-ai,6.0,0.0,0.0,0.0,3920000.0,"[0,0,0,0,0,0,2,53,24,100,53,53]",2025-09-06,"Image pack, Sitelinks, Video, People also ask, Twitter carousel, Related searches",navigational,People also ask,0,true,true,01-03,agency,ai
ai automation agencies,6,6,170,31.0,10.44,https://www.designrush.com/agency/ai-companies/ai-automation-agency,5.0,0.0,52.0,0.61,211000000.0,"[26,65,42,42,53,42,80,34,53,65,100,100]",2025-09-10,"Local pack, Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches, Ads middle",informational,Organic,0,false,true,04-10,agency,ai
cad ai,13,13,480,25.0,2.77,https://www.designrush.com/agency/ai-companies/trends/text-to-cad-ai,4.0,0.0,11.0,0.45,553000000.0,"[19,23,23,36,29,36,81,100,81,81,67,54]",2025-09-08,"Image pack, Sitelinks, Video, Related searches",informational,Organic,0,false,false,11-20,agency,ai
chatgpt killer,3,3,50,24.0,1.63,https://www.designrush.com/agency/ai-companies/trends/is-deepseek-a-chatgpt-killer,4.0,0.0,6.0,0.09,25300000.0,"[7,7,7,7,7,7,100,80,19,7,7,11]",2025-09-02,"Image pack, Sitelinks, Video, Related searches",informational,Organic,0,true,true,01-03,agency,ai
chatgpt competion,10,10,210,30.0,0.0,https://www.designrush.com/agency/ai-companies/trends/chatgpt-alternatives,4.0,0.0,0.0,0.0,89800000.0,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-21,"Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,agency,ai
chatgpt number of users 2025,11,10,2900,67.0,0.0,https://www.designrush.com/agency/ai-companies/trends/chatgpt-usage-statistics,4.0,0.0,0.0,0.0,317000000.0,"[100,36]",2025-09-11,"Image pack, Sitelinks, Video, People also ask, Related searches, Datasets, AI overview","commercial, informational",Organic,-1,false,false,11-20,agency,ai
ai development company in india,1,1,50,27.0,38.39,https://www.designrush.com/agency/ai-companies/in,3.0,0.0,115.0,0.07,673000000.0,"[4,19,42,0,0,0,0,42,4,66,9,100]",2025-08-30,"Local pack, People also ask, Related searches, AI overview",commercial,AI overview,0,true,true,01-03,agency,ai
best platforms for tracking llm-generated brand mentions,1,1,50,3.0,0.0,https://www.designrush.com/agency/ai-companies/trends/tools-for-tracking-llm-brand-visibility,3.0,0.0,0.0,0.0,269000.0,"[42,100]",2025-08-31,"Sitelinks, Video, Video Carousel, Discussions and forums, AI overview",commercial,AI overview,0,true,true,01-03,agency,ai
ai strategy development jaipur,2,2,30,2.0,0.0,https://www.designrush.com/agency/ai-companies/in/jaipur,3.0,0.0,0.0,0.0,8650000.0,[100],2025-09-04,"Image pack, Related searches","commercial, informational",Organic,0,true,true,01-03,agency,ai
