Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service
ecommerce agencies,3,3,590,42.0,14.29,https://www.designrush.com/agency/ecommerce,48.0,0.05,685.0,0.25,100000000.0,"[20,13,8,100,8,5,7,5,10,5,10,8]",2025-08-30,"Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,0,true,true,01-03,agency,ecommerce
ecommerce development company,4,4,1900,60.0,74.74,https://www.designrush.com/agency/ecommerce,45.0,0.05,3363.0,0.1,218000000.0,"[41,54,66,79,100,79,79,66,79,66,79,100]",2025-09-08,"Local pack, Image pack, Sitelinks, Related searches",informational,Organic,0,false,true,04-10,agency,ecommerce
shopify website,1,1,8100,64.0,4.81,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,40.0,0.04,192.0,0.5,97.0,"[54,44,54,36,36,36,66,44,36,29,29,29]",2025-09-10,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Ads middle",navigational,People also ask,0,true,true,01-03,agency,ecommerce
shopify costs,1,1,6600,67.0,3.21,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,33.0,0.03,105.0,0.43,49500000.0,"[5,4,3,3,54,81,100,44,54,44,24,29]",2025-09-10,"Sitelinks, Video, People also ask, Related searches, AI overview",navigational,People also ask,0,true,true,01-03,agency,ecommerce
shopify development companies,1,1,170,38.0,37.62,https://www.designrush.com/agency/ecommerce/shopify,33.0,0.03,1241.0,0.09,15300000.0,"[6,0,43,81,81,81,81,53,81,81,21,100]",2025-08-26,"Sitelinks, People also ask, Related searches, AI overview",informational,AI overview,0,true,true,01-03,agency,ecommerce
build shopify store,2,2,1000,47.0,8.97,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,32.0,0.03,287.0,0.67,106000000.0,"[100,62,81,55,100,45,10,81,36,55,16,62]",2025-09-10,"Video, Ads top, Ads bottom, People also ask, Related searches, Ads middle, AI overview","commercial, informational",People also ask,0,true,true,01-03,agency,ecommerce
ecommerce development agency,6,6,880,57.0,76.0,https://www.designrush.com/agency/ecommerce,26.0,0.03,1976.0,0.06,95100000.0,"[36,13,45,45,55,62,62,55,62,81,100,81]",2025-09-03,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,agency,ecommerce
bigcommerce web design company,3,3,320,32.0,28.92,https://www.designrush.com/agency/ecommerce/bigcommerce,26.0,0.03,751.0,0.06,4440000.0,"[36,29,19,19,23,29,44,54,100,81,66,23]",2025-08-17,"Image pack, Sitelinks, Video, Related searches","commercial, informational",Organic,0,true,true,01-03,agency,ecommerce
magento ecommerce development company,4,4,390,27.0,0.0,https://www.designrush.com/agency/ecommerce/magento,25.0,0.02,0.0,0.0,4620000.0,"[16,8,8,13,30,45,16,24,30,36,100,55]",2025-08-23,"Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic,0,false,true,04-10,agency,ecommerce
california shopify agency,1,1,90,0.0,0.0,https://www.designrush.com/agency/ecommerce/shopify/california,22.0,0.02,0.0,0.0,6560000.0,"[50,100,100,100,50,28,50,64,50,21]",2025-09-01,Image pack,commercial,Organic,0,true,true,01-03,agency,ecommerce
magento specialists,1,1,90,27.0,0.0,https://www.designrush.com/agency/ecommerce/magento,22.0,0.02,0.0,0.0,4930000.0,"[3,6,3,0,0,3,28,43,100,65,65,34]",2025-08-25,"People also ask, Related searches",commercial,Organic,0,true,true,01-03,agency,ecommerce
los angeles magento,1,1,70,12.0,0.0,https://www.designrush.com/agency/ecommerce/magento/california/los-angeles,17.0,0.01,0.0,0.0,611000.0,"[9,52,9,9,52,52,9,9,100,52,52,9]",2025-09-10,"Image pack, Video, People also ask, Related searches",,Organic,0,true,true,01-03,agency,ecommerce
ecommerce marketing brisbane,1,1,70,0.0,0.0,https://www.designrush.com/agency/ecommerce/au/brisbane,17.0,0.01,0.0,0.0,757000.0,"[50,35,50,50,0,0,50,28,64,64,64,50]",2025-08-29,"Related searches, AI overview",commercial,Organic,0,true,true,01-03,agency,ecommerce
ecommerce magento developers,3,3,210,36.0,30.19,https://www.designrush.com/agency/ecommerce/magento,17.0,0.01,513.0,0.01,5460000.0,"[18,18,8,23,28,23,15,28,44,35,100,81]",2025-08-30,"Video Carousel, Related searches",commercial,Organic,0,true,true,01-03,agency,ecommerce
fort worth ecommerce development,1,1,480,3.0,0.0,https://www.designrush.com/agency/ecommerce/texas/fort-worth,16.0,0.01,0.0,0.0,4330000.0,[100],2025-09-04,"Image pack, AI overview",informational,AI overview,0,true,true,01-03,agency,ecommerce
how to make a shopify store,4,0,880,49.0,4.75,https://www.designrush.com/agency/ecommerce/trends/how-much-does-it-cost-to-build-a-shopify-website,15.0,0.01,71.0,0.5,203000000.0,"[45,67,76,36,76,36,55,55,67,100,100,67]",2025-09-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask,-4,false,true,04-10,agency,ecommerce
ecommerce website development company,13,13,1600,33.0,11.42,https://www.designrush.com/agency/ecommerce,14.0,0.01,159.0,0.05,77700000.0,"[30,8,41,66,66,66,54,30,100,79,100,100]",2025-09-07,"Sitelinks, Related searches",commercial,Organic,0,false,false,11-20,agency,ecommerce
